,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
7,11,71,.134,51.0,89.0,100.8,-11.74,1998,Denver Nuggets
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1998,Pacific Division
9,61,21,.744,—,100.6,93.4,6.33,1998,Seattle SuperSonics*
10,61,21,.744,—,105.5,97.8,6.88,1998,Los Angeles Lakers*
11,56,26,.683,5.0,99.6,94.4,4.44,1998,Phoenix Suns*
12,46,36,.561,15.0,94.3,92.9,0.83,1998,Portland Trail Blazers*
13,27,55,.329,34.0,93.1,98.7,-5.83,1998,Sacramento Kings
14,19,63,.232,42.0,88.3,97.4,-9.20,1998,Golden State Warriors
15,17,65,.207,44.0,95.9,103.3,-7.53,1998,Los Angeles Clippers
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1999,Midwest Division
1,37,13,.740,—,92.8,84.7,7.12,1999,San Antonio Spurs*
2,37,13,.740,—,93.3,86.8,5.54,1999,Utah Jazz*
3,31,19,.620,6.0,94.2,91.9,1.39,1999,Houston Rockets*
4,25,25,.500,12.0,92.9,92.6,-0.17,1999,Minnesota Timberwolves*
5,19,31,.380,18.0,91.6,94.0,-2.50,1999,Dallas Mavericks
6,14,36,.280,23.0,93.5,100.1,-6.67,1999,Denver Nuggets
7,8,42,.160,29.0,88.9,97.5,-8.94,1999,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Pacific Division
9,35,15,.700,—,94.8,88.5,5.67,1999,Portland Trail Blazers*
10,31,19,.620,4.0,99.0,96.0,2.68,1999,Los Angeles Lakers*
11,27,23,.540,8.0,95.6,93.3,2.15,1999,Phoenix Suns*
12,27,23,.540,8.0,100.2,100.6,-0.89,1999,Sacramento Kings*
13,25,25,.500,10.0,94.9,95.9,-1.43,1999,Seattle SuperSonics
14,21,29,.420,14.0,88.3,90.8,-2.63,1999,Golden State Warriors
15,9,41,.180,26.0,90.4,99.2,-8.94,1999,Los Angeles Clippers
